id,class
Generated_Fault_1.png,0
Generated_Fault_10.png,0
Generated_Fault_11.png,0
Generated_Fault_12.png,0
Generated_Fault_13.png,0
Generated_Fault_14.png,0
Generated_Fault_15.png,0
Generated_Fault_16.png,0
Generated_Fault_17.png,0
Generated_Fault_18.png,0
Generated_Fault_19.png,0
Generated_Fault_2.png,0
Generated_Fault_20.png,0
Generated_Fault_21.png,0
Generated_Fault_22.png,0
Generated_Fault_23.png,0
Generated_Fault_24.png,0
Generated_Fault_25.png,0
Generated_Fault_26.png,0
Generated_Fault_27.png,0
Generated_Fault_28.png,0
Generated_Fault_29.png,0
Generated_Fault_3.png,0
Generated_Fault_30.png,0
Generated_Fault_31.png,0
Generated_Fault_32.png,0
Generated_Fault_33.png,0
Generated_Fault_34.png,0
Generated_Fault_35.png,0
Generated_Fault_36.png,0
Generated_Fault_37.png,0
Generated_Fault_38.png,0
Generated_Fault_39.png,0
Generated_Fault_4.png,0
Generated_Fault_40.png,0
Generated_Fault_41.png,0
Generated_Fault_42.png,0
Generated_Fault_43.png,0
Generated_Fault_44.png,0
Generated_Fault_45.png,0
Generated_Fault_46.png,0
Generated_Fault_47.png,0
Generated_Fault_48.png,0
Generated_Fault_49.png,0
Generated_Fault_5.png,0
Generated_Fault_50.png,0
Generated_Fault_6.png,0
Generated_Fault_7.png,0
Generated_Fault_8.png,0
Generated_Fault_9.png,0
Load_Fault_If00.png,0
Load_Fault_If11.png,0
Load_Fault_If22.png,0
Load_Fault_If30.png,0
Load_Fault_If31.png,0
Load_Fault_If41.png,0
Load_Fault_If42.png,0
Load_Fault_If50.png,0
Load_Fault_If52.png,0
Load_Fault_If60.png,0
Load_Fault_If61.png,0
Load_Fault_If62.png,0
One_PV_Fault_If00.png,0
One_PV_Fault_If11.png,0
One_PV_Fault_If22.png,0
One_PV_Fault_If30.png,0
One_PV_Fault_If31.png,0
One_PV_Fault_If41.png,0
One_PV_Fault_If42.png,0
One_PV_Fault_If50.png,0
One_PV_Fault_If52.png,0
One_PV_Fault_If60.png,0
One_PV_Fault_If61.png,0
One_PV_Fault_If62.png,0
Three_PV_Fault_IF_00.png,0
Three_PV_Fault_IF_11.png,0
Three_PV_Fault_IF_22.png,0
Three_PV_Fault_IF_30.png,0
Three_PV_Fault_IF_31.png,0
Three_PV_Fault_IF_41.png,0
Three_PV_Fault_IF_42.png,0
Three_PV_Fault_IF_50.png,0
Three_PV_Fault_IF_52.png,0
Three_PV_Fault_IF_60.png,0
Three_PV_Fault_IF_61.png,0
Three_PV_Fault_IF_62.png,0
Two_PV_Fault_IF_00.png,0
Two_PV_Fault_IF_11.png,0
Two_PV_Fault_IF_22.png,0
Two_PV_Fault_IF_30.png,0
Two_PV_Fault_IF_31.png,0
Two_PV_Fault_IF_41.png,0
Two_PV_Fault_IF_42.png,0
Two_PV_Fault_IF_50.png,0
Two_PV_Fault_IF_52.png,0
Two_PV_Fault_IF_60.png,0
Two_PV_Fault_IF_61.png,0
Two_PV_Fault_IF_62.png,0
Generated_Normal_1.png,1
Generated_Normal_10.png,1
Generated_Normal_11.png,1
Generated_Normal_12.png,1
Generated_Normal_13.png,1
Generated_Normal_14.png,1
Generated_Normal_15.png,1
Generated_Normal_16.png,1
Generated_Normal_17.png,1
Generated_Normal_18.png,1
Generated_Normal_19.png,1
Generated_Normal_2.png,1
Generated_Normal_20.png,1
Generated_Normal_21.png,1
Generated_Normal_22.png,1
Generated_Normal_23.png,1
Generated_Normal_24.png,1
Generated_Normal_25.png,1
Generated_Normal_26.png,1
Generated_Normal_27.png,1
Generated_Normal_28.png,1
Generated_Normal_29.png,1
Generated_Normal_3.png,1
Generated_Normal_30.png,1
Generated_Normal_31.png,1
Generated_Normal_32.png,1
Generated_Normal_33.png,1
Generated_Normal_34.png,1
Generated_Normal_35.png,1
Generated_Normal_36.png,1
Generated_Normal_37.png,1
Generated_Normal_38.png,1
Generated_Normal_39.png,1
Generated_Normal_4.png,1
Generated_Normal_40.png,1
Generated_Normal_41.png,1
Generated_Normal_42.png,1
Generated_Normal_43.png,1
Generated_Normal_44.png,1
